"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PHJJKLOP_01057",3.96073759353721,-5.99799860155915,3.91411565435758,-1.53240198584362,0.125423267726622,0.790163274333113
"PHJJKLOP_01131",3.74069661611848,-5.9155360360593,3.91454834026124,-1.51116693980193,0.130745923186358,0.790163274333113
"PHJJKLOP_01190",4.64524100298279,6.26804822869453,3.91319551371545,1.60177231286439,0.109205967693724,0.790163274333113
"PHJJKLOP_01205",12.1292524574295,-5.22042497801243,3.45695124583476,-1.51012398115318,0.131011791376343,0.790163274333113
"PHJJKLOP_01235",5.95113383997738,5.92010376193294,3.53041467664982,1.67688623126585,0.0935647310740724,0.790163274333113
"PHJJKLOP_01265",4.51084003708405,-6.18562599153019,3.91321846557797,-1.5807003994132,0.113946557016874,0.790163274333113
"PHJJKLOP_01282",4.91407280028587,6.34761691677657,3.91284948062848,1.62224919414918,0.104750002248385,0.790163274333113
"PHJJKLOP_01286",368.844587240219,3.3898820997665,2.11216451147865,1.6049327982475,0.108508594644101,0.790163274333113
"PHJJKLOP_01309",5.44061033369525,5.46489058770251,3.53908304656695,1.54415438004589,0.122550937551901,0.790163274333113
"PHJJKLOP_01336",12.9869621050891,5.59712572139185,3.45014220874333,1.62228841095525,0.104741608929699,0.790163274333113
"PHJJKLOP_01358",4.10509670031037,6.08976960109388,3.91404359170688,1.55587679554641,0.119737392197134,0.790163274333113
"PHJJKLOP_01491",14.8742481519246,5.30187311107617,3.45038926842279,1.53660143787188,0.124390940250792,0.790163274333113
"PHJJKLOP_01524",4.22854328301517,-6.09187576052058,3.65090935873888,-1.66859134586263,0.0951983951364741,0.790163274333113
"PHJJKLOP_01691",5.78434822497455,-5.99527391804992,3.90897067269133,-1.53372189766831,0.125098084271421,0.790163274333113
"PHJJKLOP_01701",55.8946159946035,-4.86445220005046,2.98993853569916,-1.62694053472004,0.103749727919272,0.790163274333113
"PHJJKLOP_01816",3.9060578668939,6.01611850614704,3.91442565350224,1.53690963596778,0.124315439499482,0.790163274333113
"PHJJKLOP_01906",4.53721214244831,6.23411149693375,3.91334899498425,1.59303744821227,0.11115179036075,0.790163274333113
"PHJJKLOP_01924",4.64524100298279,6.26804822869453,3.91319551371545,1.60177231286439,0.109205967693724,0.790163274333113
"PHJJKLOP_01956",3.64056842635636,5.91705346411989,3.91497122908891,1.51139130222852,0.130688784061586,0.790163274333113
"PHJJKLOP_01974",4.42918328191382,6.19935725812689,3.91350995359246,1.58409134808412,0.113172932974322,0.790163274333113
"PHJJKLOP_02073",4.41006533358989,6.19136765960193,3.91354750648372,1.58203462442821,0.113641666410707,0.790163274333113
"PHJJKLOP_02077",4.36868211162764,6.17991548338043,3.91360169757871,1.5790864684068,0.114316225007222,0.790163274333113
"PHJJKLOP_02099",6.18061669314204,5.92931752430602,3.91490138092336,1.5145509292261,0.129886167055837,0.790163274333113
"PHJJKLOP_02153",4.78474707463979,6.31108459483433,3.9130059908715,1.61284818105498,0.1067774955048,0.790163274333113
"PHJJKLOP_02192",19.6572033975677,-4.0250125497273,2.62604386637796,-1.53272860414129,0.125342738300032,0.790163274333113
"PHJJKLOP_02243",3.67298125817244,5.92936392548714,3.91490138095975,1.51456278166413,0.129883163487582,0.790163274333113
