"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PHJJKLOP_01837",6.05595696536193,0,4.08045587177772,0,NA,NA
"PHJJKLOP_01839",3.40905578900222,5.84384105187306,3.91537145232141,1.4925380958193,0.135558138010853,NA
"PHJJKLOP_01840",0,NA,NA,NA,NA,NA
"PHJJKLOP_01841",0,NA,NA,NA,NA,NA
"PHJJKLOP_01843",0,NA,NA,NA,NA,NA
"PHJJKLOP_01844",0,NA,NA,NA,NA,NA
"PHJJKLOP_01846",0,NA,NA,NA,NA,NA
"PHJJKLOP_01847",4.28357391071111,-5.0856560626297,3.92064266294239,-1.29714857992516,0.194580069098043,NA
"PHJJKLOP_01848",2.61025791802415,-5.42267841292117,3.9177531798318,-1.38412966922893,0.166318753685148,NA
"PHJJKLOP_01851",0,NA,NA,NA,NA,NA
"PHJJKLOP_01852",0,NA,NA,NA,NA,NA
"PHJJKLOP_01853",2.77876510256397,4.58941953955312,3.6847976500313,1.2455011035719,0.212947610114256,NA
"PHJJKLOP_01854",0,NA,NA,NA,NA,NA
"PHJJKLOP_01855",0,NA,NA,NA,NA,NA
"PHJJKLOP_01856",0,NA,NA,NA,NA,NA
"PHJJKLOP_01857",0,NA,NA,NA,NA,NA
"PHJJKLOP_01859",0,NA,NA,NA,NA,NA
"PHJJKLOP_01860",0,NA,NA,NA,NA,NA
"PHJJKLOP_01861",1.20932946808981,-2.93874953252275,3.96788433869568,-0.740633869758605,0.458915465962403,NA
"PHJJKLOP_01862",0.0750787691146016,0,4.08045587181195,0,1,NA
"PHJJKLOP_01863",0,NA,NA,NA,NA,NA
"PHJJKLOP_01864",1.73854637261442,0.996226390982285,4.0804558717802,0.244145855827539,0.807117859045367,NA
"PHJJKLOP_01865",0,NA,NA,NA,NA,NA
"PHJJKLOP_01867",0,NA,NA,NA,NA,NA
"PHJJKLOP_01869",0,NA,NA,NA,NA,NA
"PHJJKLOP_01870",0,NA,NA,NA,NA,NA
"PHJJKLOP_01871",0,NA,NA,NA,NA,NA
"PHJJKLOP_01872",0,NA,NA,NA,NA,NA
"PHJJKLOP_01873",0,NA,NA,NA,NA,NA
"PHJJKLOP_01874",0,NA,NA,NA,NA,NA
"PHJJKLOP_01875",0,NA,NA,NA,NA,NA
"PHJJKLOP_01876",0,NA,NA,NA,NA,NA
"PHJJKLOP_01877",0,NA,NA,NA,NA,NA
