"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PHJJKLOP_03077",20183.5327466591,2.72326544397726,0.0547677583399359,49.7238800075462,0,0
"PHJJKLOP_01043",1029.80211995529,3.66250598360959,0.0977341958655634,37.4741506918161,2.42901287471915e-307,4.35476918976595e-306
"PHJJKLOP_00950",2392.84749942272,-2.69321504104444,0.0719913207082941,-37.4102741073085,2.65988817304364e-306,4.74030070838849e-305
"PHJJKLOP_00200",1000.38765540918,4.91353196542309,0.131513236038108,37.3615014993573,1.64939565351047e-305,2.92206543586411e-304
"PHJJKLOP_02506",1071.98233781443,3.47554388342677,0.0931215926103334,37.322642214359,7.0465230158412e-305,1.2410170534958e-303
"PHJJKLOP_02562",3632.52936376197,9.37895482455463,0.252013714266799,37.2160493401777,3.75416831001756e-303,6.57308767262724e-302
"PHJJKLOP_02021",3323.66974006809,2.34217944178688,0.0629473166298971,37.20856689663,4.96050004829107e-303,8.63473089801365e-302
"PHJJKLOP_02102",33646.4066340372,-2.15932983607599,0.0580427551791226,-37.2024007029335,6.24067448067909e-303,1.08003349104932e-301
"PHJJKLOP_02689",6859.07560402879,2.3957082126679,0.0644017815426716,37.199409011388,6.97590593894684e-303,1.20033691846016e-301
"PHJJKLOP_01999",4057.54496502466,3.36006081767641,0.090337948660484,37.1943448738745,8.42301846020398e-303,1.44105812970575e-301
"PHJJKLOP_00715",19571.0232768221,-2.7139571672265,0.0733318674633099,-37.0092466087049,8.13090892682786e-300,1.38317848448424e-298
"PHJJKLOP_00659",6433.48688702974,-2.03566644273933,0.0551489178784413,-36.9121738204606,2.94763830354182e-298,4.98600513039785e-297
"PHJJKLOP_02359",2268.31550793364,-2.69979939850316,0.073189971401126,-36.8875591398527,7.31515916708726e-298,1.230426210464e-296
"PHJJKLOP_02117",2421.58941144357,2.58628182374413,0.0703359762779133,36.7703977481615,5.48978742170262e-296,9.18235951987579e-295
