"","ERR1797969","ERR1797970","ERR1797971","ERR1797972","ERR1797973","ERR1797974"
"PHJJKLOP_01555",90.0949641819137,70.1139851544001,87.4697440316065,81.9310811342169,89.6931383996528,90.1747950176991
"PHJJKLOP_01556",1483.1017180715,1258.10164910853,1382.44863737759,1228.05587166732,1192.28454680751,1060.297040318
"PHJJKLOP_01557",1410.33270853996,1285.75223480322,1341.9138779483,1198.01447525144,1057.29184355954,1020.65976778275
"PHJJKLOP_01558",2106.83608548475,1992.81721185323,1881.66620087505,1637.7112773384,1588.20274358173,1499.27983364592
"PHJJKLOP_01559",3160.25412822713,3158.09189470101,3063.57444949724,4225.82309583372,4315.23654744996,4339.29041079675
"PHJJKLOP_01560",6364.40067490185,6125.59225229216,6178.35070037884,5107.94773604545,5154.18448844065,5457.06149629087
"PHJJKLOP_01561",27.7215274405888,31.6006693653634,45.868280406818,146.565600695655,115.060894714706,156.567226514247
"PHJJKLOP_01562",18.4810182937259,19.7504183533521,20.2673797146405,86.4828078638956,97.8470600723485,109.002499471944
"PHJJKLOP_01563",552.120421525061,542.148983799516,483.217000564851,1831.61483602271,1722.28945553273,1782.68633227297
"PHJJKLOP_01564",5332.92884138328,5629.85675162303,4972.97495945548,954.952267886594,845.289880069455,1087.0521992793
"PHJJKLOP_01565",322.262756496845,393.033325231707,355.212497103963,220.30357371645,253.677563150533,257.64227147914
"PHJJKLOP_01566",544.034976021556,549.061630223189,467.21643763224,955.86261323253,983.906548505282,977.058767993971
"PHJJKLOP_01567",132.832318986155,120.477551955448,147.205178980021,41.8758859130442,28.0857302059519,58.4649769894972
"PHJJKLOP_01568",1262.48456219015,1117.87367879973,1211.7759660964,1056.00060128546,985.718531099215,958.231063539726
"PHJJKLOP_01569",1856.18727487609,1878.26478540379,1739.79454287256,2506.1807373611,2425.33870197849,2547.68569220335
"PHJJKLOP_01570",2950.03254513599,2814.43461535268,2921.70279149476,2617.24286956526,2597.47704840207,2664.61564618234
"PHJJKLOP_01571",869.762923448475,854.20559378248,837.362793473306,865.738423984891,902.367331778325,961.20385897987
"PHJJKLOP_01572",1198.95606180547,1160.33707825944,1082.70475844001,457.903709005679,445.747718107365,430.064407007488
"PHJJKLOP_01573",1118.10160677042,1099.11078136405,1142.44019338842,520.717537875245,491.047282955675,538.075974666051
"PHJJKLOP_01574",4495.50769994882,4273.9905316654,4377.75401836236,7489.41116101336,6310.22938336951,6043.6931298126
"PHJJKLOP_01575",1245.15860753978,1366.72895005197,1219.24289546495,1021.4074781399,1073.59968690494,1040.47840405037
"PHJJKLOP_01576",539.414721448124,556.96179756453,503.484380279491,868.469460022699,787.306437063619,876.974654842458
"PHJJKLOP_01577",11001.9812029837,11044.4339431945,10105.9555482371,1950.8700763403,1846.4102632171,1953.12660417456
"PHJJKLOP_01579",1.15506364335787,5.92512550600564,0,2.73103603780723,0,0
